,name,city
1578,Timothy Johnson,Davidburgh
1579,Joshua Jones,North Tonyburgh
1580,Dr. Travis Hubbard,Mathewview
1581,Luke Morgan,West Jasonfort
1582,Kevin Wagner,Martinezburgh
1583,Kim Silva,Josephside
1584,Nicholas Lee,Lake Clairemouth
1585,Debra Wilson,North Daryl
1586,Manuel Zimmerman,Johnview
1587,Jennifer Campbell,Contrerasborough
1588,Christopher Casey,East Amber
1589,Daniel Peck,West Terri
1590,Mike Clayton,Haletown
1591,Billy Morrow,West Brettstad
1592,Kyle Golden MD,New Tina
1593,Brian Gordon,Ericchester
1594,Helen Kim,Dannyside
1595,Monique Cervantes,South Roseside
1596,Lindsay Mclaughlin,Davisport
1597,Sandra Lopez,Thompsonbury
1598,Danielle Ward,Lake Luisshire
1599,Randall Lyons,Lindsayfort
1600,Scott Oliver,Lake Mark
1601,Tina Velez,Lake Brittney
1602,Sherry Woodard,South Andrew
1603,Laura Jordan,South Julieshire
1604,Barbara Thomas,Gutierrezfurt
1605,Leslie Cardenas,North Teresachester
1606,Marissa Harding,Francesberg
1607,Robert Wright,Lake Alejandrohaven
1608,Karen Nelson,Williamsshire
1609,Colleen Castro,New Angelaport
1610,Alexander Ruiz,Daltonville
1611,Ronnie Hernandez,North Janet
1612,Jose Howard,East Alejandroport
1613,Carrie Roth,Bennettport
1614,Pamela Bates,Grantmouth
1615,David Becker,Alexport
1616,Erica Hampton,South Kevinton
1617,Nicole Harrison,Andersonborough
1618,Sara Wheeler,South Markfort
1619,John Gonzales,Port Jessica
1620,Edward Carter,Smithmouth
1621,Nicholas Whitehead,Graymouth
1622,Troy Curry,Lake Timothy
1623,Jared Kelley,Juliebury
1624,Isaiah Atkins,Tiffanyville
1625,Keith Hall,Randallside
1626,Lisa Perkins,Port Jessica
1627,David Morales,Randytown
1628,Margaret Lewis,East Joseph
1629,Mr. Spencer Long,South Michaelhaven
1630,Cheryl Smith,Hodgeview
1631,Sherri Marshall,New Rachael
1632,Lisa Arnold,Port Janet
1633,Lauren Neal PhD,New Paulberg
1634,Lance Cordova,Barnesmouth
1635,Jesus Hooper IV,North Kathleen
1636,Veronica Henry,North Justin
1637,Keith Martin,South Sarabury
1638,Sherry Morgan,North Maryborough
1639,Joshua Melton,Loganmouth
1640,Seth Jackson,New Davidshire
1641,Shannon Garcia,Adamland
1642,Michael Hull,Thomasland
1643,Angela Benton,South Josephfort
1644,Linda Fox,Mooreborough
1645,Jon Bernard,South Jasonfurt
1646,Pamela Horton,East Michael
1647,Christopher Young,Bobfurt
1648,Derrick Lewis,Gonzalezhaven
1649,Mrs. Heather Bell DDS,Travisland
1650,Tanya Brooks,Shawnhaven
1651,Bill Johnston,Franklinland
1652,Hayden Johnson,Ashleystad
1653,Joel Tapia,South Jesusberg
1654,Tracy Holmes,East Barbara
1655,John Williams,Laurenburgh
1656,Michael Morris,Port Michelle
1657,Jay Mcguire,Danielleton
1658,Mary Adams,Angelaview
1659,Ashley Travis,New Susan
1660,Patrick Hopkins,Amandaside
1661,Scott Johnson,Lake Melaniechester
1662,Angie Ryan,West Raymond
1663,Dylan Herrera,New Louis
1664,Morgan Garcia,South Dennisport
1665,Kevin Espinoza,East Lauramouth
1666,Chad Martinez,Watersview
1667,Sarah Collins,Wilsonview
1668,William Hoffman,New Nicolemouth
1669,Marcia Haynes,New Tara
1670,Jennifer Evans,Kathleenborough
1671,Aaron Rivera,Rileyside
1672,Kristen Weeks,West Rebecca
1673,Linda Anderson,New Ruben
1674,John Collins,Jefferymouth
1675,Diane Anderson,Port Cindyland
1676,Sylvia Jones,Brianatown
1677,Mrs. Misty Campbell,North Madeline
1678,Nicole Potts,Elliston
1679,Sharon Hoffman,Davidview
1680,Michael Gonzalez,South Ericmouth
1681,Amber Thomas,Klinefurt
1682,John Ramos,Timothychester
1683,David Carpenter,Michaelbury
1684,Arthur Hernandez,Katherineland
1685,Michelle Rodriguez,North Markport
1686,Andrea Mcdonald,Lake Jack
1687,Mrs. Julie Curtis,South Danielfort
1688,Kyle Moody,Cynthialand
1689,Benjamin Donaldson,Donovanton
1690,Scott Gardner,Andrewborough
1691,Cathy Smith,Bondton
1692,Bryan Armstrong,North David
1693,Shane Cook,Smithfurt
1694,Kathleen Solomon,Melissafurt
1695,Chad Hamilton,North Johnfort
1696,Jeffrey Cline,Lake Rebeccahaven
1697,Robert Delgado,Martinezside
1698,Rebecca Blanchard,New Sharonside
1699,Sheila Miller,Mitchellside
1700,Bryan Hogan,Barronborough
1701,Thomas Blanchard,Ryanberg
1702,Andrew Summers,Thompsonberg
1703,Janet Oneal,West Sarahberg
1704,Eugene Cuevas,Novakfort
1705,Ashley Bryant,Port Davidtown
1706,Stephanie Walker,Foleyview
1707,Christopher Wright,South Ana
1708,Kaitlyn Davis,Grantborough
1709,Maria Lopez,Middletonfort
1710,Wanda Long,Lake James
1711,Amanda Gutierrez,West Lori
1712,Michelle Wright DVM,Galvanville
1713,Brittany Austin,Lake Mackenzie
1714,John Davis,Port Yvettehaven
1715,Cheyenne Juarez,Katrinaside
1716,David Huffman,Ashleytown
1717,Linda Hall,New John
1718,Kerry Carter,New Sharonton
1719,Devin Santos Jr.,South Jessicamouth
1720,Shaun Riggs,Rogerstown
1721,Kendra Park,South Joannashire
1722,Michael Flores,New Michaelhaven
1723,Daniel Johns,Wagnerbury
1724,Michael Moore,Jasonview
1725,Jeanne Fisher,Port Brittany
1726,Kristina Simmons,South Amandaside
1727,Christopher Lyons,Daltonstad
1728,Kyle Daniels,Comptonburgh
1729,Kelly Rhodes,Marctown
1730,Madison Mueller,Davidborough
1731,Andre Mendoza,Port Matthew
1732,John Daniel,South Tammyberg
1733,Joseph Thomas,Jessicahaven
1734,Brian Jones,Rebeccaland
1735,Victoria Roberts,New Alexanderstad
1736,Jenna Rodriguez,New Garyfurt
1737,Laura Bailey,New Ashley
1738,Nicholas Little,Carlachester
1739,Kenneth Martin,Sarahfort
1740,Matthew Dunn,North Kimberly
1741,Linda Hansen,Joshuachester
1742,Sheri Wagner,Josephberg
1743,Holly Ward,Julieville
1744,Monique Harrison,Lopezmouth
1745,Anthony Rodgers,South Kyle
1746,Mark Martinez,North Timothyshire
1747,Anna Nicholson,Lindsaychester
1748,Cathy Ramos,Lake Stephanie
1749,Ryan Payne,Rodriguezside
1750,Taylor Smith,Heatherview
1751,Matthew Henderson,Lake Edwardmouth
1752,Reginald Reed,Woodmouth
1753,Jennifer Mejia,Michelleborough
1754,Christopher Fritz,Catherineborough
1755,Travis Soto,Conwayhaven
1756,Madeline Green,Marcomouth
1757,Brenda Roberts,Juliefort
1758,Jeremy Haynes,Aguirrestad
1759,Stephanie Craig,Barronhaven
1760,Allen Mcdonald,North Wendyfort
1761,Jean Mcdaniel,New Veronicabury
1762,Andrew Ayers,East Jeremychester
1763,Sandra Glenn,Jonathanside
1764,Tyler Hernandez,Angelachester
1765,Joanna Ball,Rebeccamouth
1766,Joyce Howard,West Henrymouth
1767,Alicia Flores,Fisherborough
1768,Katie Mckinney,South Willie
1769,Edward Miller,Longside
1770,Sarah Davis,West Cassandraton
1771,Alicia Henderson,East Christopher
1772,Benjamin Aguilar,Warnerfurt
1773,Don Robinson,Melissatown
1774,James Davenport,Rebeccamouth
1775,Alison Haynes,East Feliciatown
1776,Eric Page,South Sean
1777,James Lang,Yangland
1778,Jose Durham,Kathyview
1779,Patricia Griffin,East Ray
1780,Donald Church,Dixonton
1781,Natalie Campbell,New Yolanda
1782,Jennifer Stokes,Tylerburgh
1783,Tammy Boyd,North Courtneyhaven
1784,Bonnie Ayala,Adambury
1785,Diane Collier,Adrianfurt
1786,Joshua Guerrero,North Crystalborough
1787,Jill Cook,Youngshire
1788,Dale Todd,Coryfurt
1789,Rebekah Lewis,West Benjamin
1790,Terry Jones MD,North Jacobport
1791,Darin Wood,Garzaborough
1792,Casey Adams,West Amyside
1793,Kristen Lopez DVM,South Edwardshire
1794,Jessica Wilson,Salazarhaven
1795,David Joseph,Lake Erictown
1796,Ian Thomas,Adamport
1797,Keith Owens,Port Michael
1798,Tyler Charles,Lake Seth
1799,Edwin Ryan,Paulbury
1800,Brenda Robinson,West Sean
1801,Rachel Dalton,West Rachel
1802,Michael Jackson,East Sarah
1803,Rebecca Todd,Sawyerview
1804,Shannon Campbell,South Andrewmouth
1805,Raymond Joseph,South Amandaland
1806,Sean Goodman,Port Briantown
1807,Karen Thompson,East Kaylamouth
1808,Jeffery Gray,Heatherberg
1809,Chad Miller,South Rhondatown
1810,Rachel Schneider,South Dawnside
1811,Joel Murray,South Danielborough
1812,Wendy Knight,Johnsonborough
1813,Nicholas Graves,Anthonyside
1814,Amy Hammond,West Stephaniestad
1815,Brian Smith,Lisamouth
1816,Kenneth Williams,Smithburgh
1817,Craig Smith,Anthonyshire
1818,Shannon Buchanan,East Amanda
1819,Jesse Stone,New Williamstad
1820,Melissa Riggs,South Davidburgh
1821,Patricia Washington,Port Ashley
1822,Holly Hudson,Leeville
1823,Eric Stephenson,Kellyfort
1824,Jennifer Cunningham,Bethmouth
1825,Melissa Moyer,East Adamborough
1826,Clayton Cochran,North Lorettachester
1827,Rose Hunter,Samuelberg
1828,Patrick Moses,Stevenmouth
1829,Elizabeth Martinez,New Taylorport
1830,Jimmy Page,East Tiffany
1831,Rebecca Hernandez,North Carolton
1832,Grace Allen,New Alexandra
1833,Fernando Meyer,Jamesburgh
1834,Rachel Sullivan,Smithfurt
1835,Holly Edwards,Davidchester
1836,Derrick Williams,Piercechester
1837,Becky Rodriguez,South Benjaminside
1838,Melissa Rodriguez,New Dianamouth
1839,Rachel Mcbride,Port Stephaniemouth
1840,Virginia Deleon,Christophershire
1841,Gabriel Brown,East Cherylside
1842,Philip Maldonado,Jeanneport
1843,Carolyn Salas,North Tammy
1844,Jordan Smith,Lake Meganburgh
1845,Margaret Garcia,Virginiaport
1846,Jacob Nelson,Richardshire
1847,Taylor Harrison,Juarezfort
1848,Carrie Cantrell,Dwayneville
1849,Patrick Wilson,West Cassandra
1850,Michaela Trujillo,Melissamouth
1851,Lauren Bowers,Rodriguezshire
1852,William Orr,West Tamara
1853,Joshua Murphy,New Barbaraberg
1854,Brent Duncan,Kathyberg
1855,Jason Benjamin,North Alanport
1856,Tracy Frazier,South Jeremymouth
1857,Brittany Simmons,Mitchellview
1858,Robert White,Diazmouth
1859,Autumn Clark,Berrymouth
1860,Jose Williams,Lake Lauren
1861,Caitlin Ford,South Erictown
1862,Justin Alexander,Bensontown
1863,Margaret Parker,Brandonstad
1864,Richard Harris,Danielleberg
1865,Ryan Houston,South Kevintown
1866,Lori Curtis,Lake Lauren
1867,Charles Davis,Morrisshire
1868,Robert Morgan,Collinsport
1869,Jessica Davis,Collinsshire
1870,Brooke Christensen,East Matthewmouth
1871,Laura Williams,Toddberg
1872,Courtney Bradley,Jenniferton
1873,Julie Bennett,South Crystalport
1874,Steven Lee,Port Haroldside
1875,Diane Anderson,South James
1876,Michael Munoz,Huffstad
1877,Stacy Hill,East Patrick
1878,Eddie Santos,North Angela
1879,Rachel Rogers,North Jonathan
1880,Stephen Ayala,Tanyaport
1881,Melissa Baker,North Shirley
1882,Alexandra Cox,Port Jordan
1883,Deanna Williams,North Nicolemouth
1884,Richard Parks,Vargasberg
1885,Derek Murphy,Lake Pamela
1886,Earl Yates,Lake Jonathan
1887,Angel Ryan,Cervantesberg
1888,Jeffrey Rogers,Hannahmouth
1889,Bethany Simpson,West Michael
1890,John Todd,Port Franciscochester
1891,Joshua Moore,North Jonathan
1892,Alexander Berry,Lake James
1893,Christina Vega,Port Robyn
1894,Timothy Anderson,South Justin
1895,Ann Pruitt,Wadeshire
1896,Tasha Hughes,Harrisontown
1897,Janet Ray,Port Stephenville
1898,Valerie Figueroa,West Savannahberg
1899,Lawrence Brock,New Laurenmouth
1900,Cindy Conway,South Cory
1901,Sherry Mcdowell,Cowanmouth
1902,James Coleman,Robertstad
1903,Katherine Simmons,East Steven
1904,Judith Clayton,Ellismouth
1905,Natalie Moss,Lopezberg
1906,Thomas Howell,Jonesberg
1907,Kurt Parks,Manuelmouth
1908,Mark Craig,Kennedyville
1909,Sarah Thompson,South Melaniehaven
1910,Ashley Lewis,New Katie
1911,Michelle Hall,North Robert
1912,Madeline Henderson,West Jonathantown
1913,Jim Mendez,Stonemouth
1914,Gabriel Munoz,Wallacebury
1915,Tyler Charles,Lake Marioland
1916,Rachel Garcia,Marioton
1917,George Whitehead,East Brett
1918,Jennifer Harris,Brettmouth
1919,Angela Collier PhD,Justinbury
1920,Teresa Wright,Johnchester
1921,Anna Rice,South Jakestad
1922,Jennifer Miller,New Jermaineland
1923,Ivan Bonilla,Reyesland
1924,Lee Hudson,Port Jessica
1925,Miss Beverly Brown MD,New Anthonyshire
1926,Theresa Henry,Hornmouth
1927,Bill Ortiz,Jonesshire
1928,Joshua Johnson,Martinport
1929,Erin Ortiz,Tylermouth
1930,Kevin Cortez,Woodsstad
1931,Travis Spencer,Lake Meganshire
1932,Stacy Mayer,West Davidland
1933,Jack Preston,Wilkinsmouth
1934,Theresa White,Taylorborough
1935,Brandon Whitney,South Thomasfurt
1936,Lisa Brandt,Luisshire
1937,Olivia Harper,East Tamaraview
1938,Edwin Le,Port William
1939,Brianna Hughes,South Pamela
1940,Brian Davis,Diazborough
1941,Andre Dalton,Leahland
1942,Matthew Clark,Johnton
1943,Joshua Munoz,North Craigside
1944,Chris Burgess,Mannbury
1945,Emily Flynn,Mistyborough
1946,Paula Morales,Armstrongmouth
1947,Sandra Yoder,North Richardville
1948,Marc Moses,Johntown
1949,Martha Higgins,Richardhaven
1950,Cory Hale,North Michael
1951,Nathan Johnson Jr.,Newmanberg
1952,Kelly Villa,Bateston
1953,Jennifer Williams,Port Katherineborough
1954,Brenda Copeland,Rebeccaview
1955,Nicholas Wolfe,Barbaraburgh
1956,Tammy Mays,East Timothyborough
1957,Javier Hill,West Tyler
1958,Katherine Anderson,East Daniel
1959,Shawn Chapman,Carlachester
1960,Victoria Torres,Kellystad
1961,Susan Steele,West Timothy
1962,Ryan Robinson,Port Williammouth
1963,Elizabeth Robinson,Deborahfurt
1964,Sean Mccullough,Hunterberg
1965,Victoria Fischer MD,Jennifertown
1966,Darren Martin,Cassidymouth
1967,Amanda Mccoy,Medinahaven
1968,Brian Wall Jr.,New Hannah
1969,Peter Tran,Lake Kennethport
1970,Douglas Smith MD,South Mary
1971,Andrew Hartman,North Richard
1972,Emily Woods,Emilyshire
1973,Jessica Thompson,New Nicholasview
1974,Kathy Mcpherson,New Crystalside
1975,Noah Rush,Butlerton
1976,Steven Jones,West Peterport
1977,Valerie Hall,Port Jon
1978,Scott Carter,Savannahbury
1979,Frank Zavala,Parkershire
1980,Patricia Graham,Sabrinafort
1981,Anthony Alvarez,East Joseph
1982,Wayne Dean,South Philip
1983,Sarah Perkins,Port Colleenchester
1984,Brenda Larsen,Matthewsview
1985,Jennifer Villanueva MD,New Mary
1986,Pamela Mills,North Christinatown
1987,Mark Martin,Lake Alexishaven
1988,Erika Hartman,Mollyfurt
1989,Lisa Hawkins,North Jennifershire
1990,Patrick Burke,Port Davidside
1991,William Martinez,Susanmouth
1992,Michael Greene,West Wanda
1993,Monica Wood,Bennettside
1994,Derek Burke,Christinemouth
1995,David Mooney,South Diane
1996,Lisa Hawkins,Scottville
1997,Dominic Franklin,East Davidhaven
1998,Miranda Clark,Heatherview
1999,Lisa Brooks,South Catherine
2000,Nicole Molina,Millerfurt
